Metric,Value
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,6380
design__instance__count__class:antenna_cell,8186
design__instance__area__class:antenna_cell,20484.6
flow__warnings__count:GRT-0243,2
flow__warnings__count:RSZ-0064,1
route__net,128815
route__net__special,2
route__drc_errors__iter:0,125
route__wirelength__iter:0,8616156
route__drc_errors__iter:1,57
route__wirelength__iter:1,8616144
route__drc_errors__iter:2,10
route__wirelength__iter:2,8616141
route__drc_errors__iter:3,0
route__wirelength__iter:3,8616093
route__drc_errors__iter:4,1
route__wirelength__iter:4,8616203
route__drc_errors__iter:5,0
route__wirelength__iter:5,8616194
route__drc_errors,0
route__wirelength,8616093
route__vias,905690
route__vias__singlecut,905690
route__vias__multicut,0
route__drc_errors__iter:6,24
route__wirelength__iter:6,8620506
route__drc_errors__iter:7,24
route__wirelength__iter:7,8620506
route__drc_errors__iter:8,0
route__wirelength__iter:8,8620529
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,257
design__critical_disconnected_pin__count,0
route__wirelength__max,6685.25
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1488
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1488
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1488
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3579
design__max_fanout_violation__count__corner:min_tt_025C_1v80,11
design__max_cap_violation__count__corner:min_tt_025C_1v80,1229
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.1524399538635708
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.352636263504337
timing__hold__ws__corner:min_tt_025C_1v80,0.3196485389076005
timing__setup__ws__corner:min_tt_025C_1v80,1.736446591221089
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.319649
