net,length_um
_055496_,54µm
net6392,54µm
_013789_,53.96µm
_030934_,53.96µm
_036320_,53.96µm
u_npu.u_npu_sram.dout_a\[291\],53.96µm
_021483_,53.955µm
_034785_,53.94µm
_041009_,53.94µm
_041142_,53.94µm
u_core.load_store_unit_i.rdata_q\[25\],53.905µm
u_npu.u_npu_engine.conv_acc\[20\],53.9µm
_051598_,53.88µm
_053005_,53.88µm
net7216,53.88µm
u_timer.reg_tim_cnt\[20\],53.87µm
_038042_,53.865µm
_049189_,53.84µm
u_timer.reg_tim_cnt\[25\],53.84µm
u_timer.reg_tim_evn\[9\],53.825µm
_019170_,53.82µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[1\],53.82µm
_011947_,53.8µm
_022504_,53.8µm
_047948_,53.8µm
_013701_,53.76µm
_020811_,53.76µm
_026096_,53.76µm
_034738_,53.76µm
u_jtag.dr_reg\[34\],53.76µm
_056834_,53.72µm
_033828_,53.715µm
u_i2c.op_tdr\[30\],53.7µm
u_timer.reg_tim_cnt\[18\],53.7µm
_019229_,53.68µm
_041133_,53.68µm
_031375_,53.66µm
u_i2c.reg_tdr\[29\],53.66µm
u_data_ram.dout_r\[62\],53.65µm
_048346_,53.64µm
_050886_,53.64µm
_054478_,53.64µm
u_npu.u_npu_sram.dout_b\[15\],53.64µm
_027425_,53.62µm
_045091_,53.62µm
_049156_,53.62µm
u_uart1.u_rx.clk_cnt_r\[10\],53.62µm
u_uart2.pack_data_r\[14\],53.62µm
u_npu.u_npu_sram.dout_a\[155\],53.61µm
_038556_,53.6µm
_051943_,53.6µm
_016605_,53.595µm
_052152_,53.58µm
_053039_,53.58µm
_055005_,53.58µm
u_uart2.u_tx.clk_cnt_r\[28\],53.58µm
s12_rdata\[15\],53.565µm
u_npu.u_npu_engine.conv_acc\[240\],53.56µm
_016127_,53.48µm
_028012_,53.48µm
_034861_,53.48µm
_034964_,53.48µm
_054957_,53.46µm
_017251_,53.44µm
_052647_,53.44µm
_055634_,53.42µm
u_i2c.op_nby\[0\],53.42µm
_019695_,53.41µm
u_uart1.u_tx.clk_cnt_r\[14\],53.405µm
_034272_,53.4µm
u_npu.u_npu_sram.dout_a\[129\],53.39µm
_022782_,53.38µm
_030216_,53.38µm
_036261_,53.38µm
u_core.cs_registers_i.mip\[16\],53.38µm
_013589_,53.36µm
_024594_,53.36µm
_012045_,53.34µm
_048973_,53.34µm
_016938_,53.3µm
_017299_,53.3µm
_021702_,53.3µm
_026038_,53.3µm
u_npu.u_npu_engine.rq_scaled\[11\],53.3µm
u_qspi.reg_adr\[10\],53.3µm
u_npu.u_npu_engine.conv_acc\[100\],53.28µm
_018448_,53.26µm
u_npu.u_npu_engine.conv_acc\[92\],53.26µm
_048697_,53.25µm
u_uart1.u_rx.clk_cnt_r\[22\],53.235µm
_055850_,53.22µm
_047660_,53.2µm
_045700_,53.16µm
u_timer.reg_tim_cnt\[27\],53.16µm
_021857_,53.14µm
_050132_,53.14µm
u_timer.reg_tim_cnt\[11\],53.13µm
_025557_,53.12µm
_052691_,53.1µm
_049000_,53.08µm
u_npu.u_npu_sram.dout_a\[151\],53.07µm
u_npu.u_npu_sram.dout_b\[272\],53.07µm
_027094_,53.06µm
u_jtag.bus_rdata_result\[18\],53.06µm
_036121_,53.055µm
_013703_,53.04µm
_053689_,53.02µm
_012999_,53µm
_032574_,53µm
_035355_,52.98µm
_049968_,52.98µm
_041208_,52.965µm
u_i2c.op_tdr\[24\],52.965µm
_007642_,52.96µm
_014366_,52.96µm
_027142_,52.96µm
_053226_,52.96µm
_012660_,52.94µm
_030311_,52.94µm
_035171_,52.94µm
_056689_,52.94µm
u_timer.reg_tim_are\[19\],52.94µm
_051934_,52.92µm
_035506_,52.9µm
_044948_,52.9µm
_054494_,52.9µm
u_instruction_ram.dout_r\[34\],52.89µm
_013600_,52.88µm
_023172_,52.88µm
u_uart2.u_tx.clk_cnt_r\[24\],52.86µm
_014877_,52.85µm
_016797_,52.84µm
_031924_,52.84µm
_047080_,52.84µm
_051028_,52.84µm
_052351_,52.84µm
_056452_,52.84µm
u_jtag.csr_aw_addr_lat\[2\],52.84µm
_027964_,52.83µm
_045316_,52.82µm
_039090_,52.8µm
_040921_,52.8µm
_053635_,52.8µm
_054709_,52.8µm
u_timer.timer_tick,52.8µm
_017813_,52.76µm
_032672_,52.76µm
_022738_,52.74µm
_056621_,52.74µm
_049236_,52.72µm
clknet_leaf_1111_clk_i_regs,52.72µm
_050715_,52.695µm
_022711_,52.68µm
u_instruction_ram.dout_r\[18\],52.67µm
_014432_,52.665µm
_031554_,52.66µm
_040910_,52.66µm
u_npu.u_npu_engine.fc_acc\[21\],52.66µm
_028402_,52.64µm
u_core.cs_registers_i.depc_o\[15\],52.64µm
_031769_,52.63µm
_017546_,52.62µm
_032391_,52.62µm
u_npu.u_npu_engine.conv_acc\[65\],52.62µm
_012597_,52.6µm
_050746_,52.6µm
u_uart1.u_tx.clk_cnt_r\[9\],52.6µm
_044839_,52.59µm
_053985_,52.58µm
_033936_,52.54µm
_046931_,52.54µm
_054779_,52.54µm
_012888_,52.52µm
_036879_,52.52µm
u_npu.out_offset_addr\[4\],52.52µm
u_npu.u_npu_sram.dout_a\[290\],52.52µm
u_core.cs_registers_i.mcause_q\[1\],52.505µm
_040563_,52.5µm
_047588_,52.5µm
_049908_,52.5µm
_026181_,52.48µm
u_timer.reg_tim_pre\[7\],52.48µm
_027710_,52.46µm
_035668_,52.46µm
_054400_,52.46µm
u_uart1.u_rx.clk_cnt_r\[17\],52.46µm
_015976_,52.44µm
_028986_,52.44µm
_029897_,52.42µm
_045458_,52.38µm
_046008_,52.38µm
u_npu.u_npu_sram.dout_b\[17\],52.36µm
u_uart1.reg_tdr_r\[4\],52.36µm
_045484_,52.34µm
_050406_,52.34µm
_016734_,52.3µm
_048799_,52.3µm
_049552_,52.3µm
_056200_,52.3µm
u_npu.u_npu_engine.exp_val\[42\],52.3µm
_013061_,52.28µm
_055669_,52.28µm
u_core.cs_registers_i.mhpmcounter_q\[173\],52.28µm
u_uart2.reg_irq_en_r\[2\],52.28µm
_016112_,52.26µm
_045192_,52.26µm
_040718_,52.245µm
_013668_,52.24µm
_053321_,52.24µm
s3_bvalid,52.24µm
u_core.cs_registers_i.mhpmcounter_q\[135\],52.24µm
_013049_,52.235µm
u_npu.u_npu_sram.dout_b\[159\],52.23µm
_025114_,52.22µm
_045519_,52.22µm
_048615_,52.22µm
u_npu.u_npu_engine.rq_ab\[48\],52.22µm
u_uart2.u_tx.clk_cnt_r\[26\],52.22µm
_014649_,52.2µm
_024552_,52.2µm
_026210_,52.2µm
_047281_,52.2µm
u_uart1.u_rx.clk_cnt_r\[5\],52.2µm
_016252_,52.18µm
_048885_,52.18µm
net1463,52.17µm
_019301_,52.16µm
net6975,52.16µm
net15457,52.16µm
_034062_,52.14µm
u_dma.w_data_lat\[30\],52.12µm
u_npu.u_npu_engine.conv_acc\[50\],52.1µm
_015002_,52.09µm
_050515_,52.08µm
_055030_,52.08µm
_020481_,52.04µm
_026298_,52.04µm
_040808_,52.04µm
_046933_,52.04µm
u_npu.u_npu_engine.fc_acc\[65\],52.04µm
u_i2c.byte_cnt\[0\],52.03µm
_036466_,52.02µm
_023745_,52µm
_053443_,52µm
_054295_,52µm
u_npu.u_npu_engine.rq_scaled\[29\],52µm
u_uart2.tx_start_r,52µm
_033550_,51.99µm
_049513_,51.98µm
_052066_,51.98µm
u_npu.u_npu_sram.dout_a\[437\],51.98µm
u_timer.reg_tim_evn\[2\],51.98µm
u_npu.u_npu_sram.dout_b\[16\],51.975µm
_011904_,51.96µm
u_dma.xfer_cnt\[6\],51.96µm
_038789_,51.94µm
_049044_,51.94µm
u_npu.u_npu_engine.div_num\[9\],51.92µm
_012198_,51.9µm
_053613_,51.9µm
_056550_,51.9µm
_000079_,51.88µm
clknet_leaf_718_clk_i_regs,51.88µm
_028110_,51.86µm
_034822_,51.86µm
_035718_,51.86µm
_056597_,51.86µm
_049056_,51.84µm
_050336_,51.84µm
u_npu.u_npu_sram.dout_a\[280\],51.84µm
_017997_,51.82µm
_055827_,51.82µm
_047579_,51.8µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[6\],51.78µm
_014653_,51.76µm
_032534_,51.76µm
_047158_,51.76µm
_013028_,51.74µm
u_npu.u_npu_sram.dout_a\[427\],51.74µm
_012578_,51.72µm
u_core.cs_registers_i.pc_if_i\[3\],51.72µm
u_gpio.gpio_in_q2\[7\],51.71µm
_031577_,51.7µm
_034053_,51.7µm
u_timer.prescaler_counter\[22\],51.7µm
net6991,51.7µm
_053245_,51.68µm
u_jtag.bus_rdata_result\[27\],51.68µm
u_uart2.reg_cpb_r\[3\],51.67µm
_031602_,51.66µm
_040513_,51.66µm
_031731_,51.64µm
u_npu.out_offset_addr\[8\],51.64µm
_012779_,51.62µm
_022951_,51.62µm
_030345_,51.61µm
_020955_,51.605µm
_032287_,51.58µm
_056237_,51.58µm
_023190_,51.57µm
_023020_,51.56µm
_024179_,51.56µm
u_jtag.bus_rdata_result\[2\],51.54µm
_022300_,51.52µm
net1996,51.5µm
_049579_,51.49µm
_014521_,51.48µm
_056362_,51.48µm
u_npu.in_offset_addr\[12\],51.48µm
_035733_,51.44µm
_056416_,51.44µm
u_core.cs_registers_i.depc_o\[14\],51.44µm
_014983_,51.42µm
u_core.cs_registers_i.depc_o\[10\],51.42µm
_048990_,51.4µm
net6725,51.4µm
_050401_,51.38µm
_022101_,51.36µm
_025148_,51.32µm
_043027_,51.32µm
_049856_,51.32µm
u_qspi.tx_word\[3\],51.32µm
_035687_,51.3µm
u_data_ram.dout_r\[20\],51.29µm
_015799_,51.28µm
_022652_,51.28µm
_012584_,51.26µm
_055408_,51.26µm
u_npu.u_npu_engine.exp_val\[5\],51.26µm
_034072_,51.25µm
_013127_,51.24µm
_022327_,51.24µm
u_npu.u_npu_engine.quotient\[4\],51.24µm
clknet_leaf_1024_clk_i_regs,51.24µm
_013111_,51.22µm
_036252_,51.22µm
_046487_,51.22µm
_054300_,51.2µm
_054886_,51.16µm
_012323_,51.14µm
_047452_,51.14µm
_049943_,51.14µm
net6316,51.14µm
_024278_,51.12µm
u_qspi.tx_word\[7\],51.12µm
u_uart2.u_tx.clk_cnt_r\[23\],51.1µm
_012460_,51.09µm
_027874_,51.08µm
_051426_,51.08µm
_016137_,51.06µm
u_npu.u_npu_engine.conv_acc\[145\],51.06µm
_026624_,51.04µm
_028737_,51.04µm
_030398_,51.04µm
_054663_,51.04µm
u_npu.u_npu_sram.dout_b\[268\],51.03µm
_015459_,51.02µm
_046925_,51µm
_053224_,51µm
u_npu.u_npu_engine.conv_acc\[227\],51µm
u_npu.u_npu_sram.dout_a\[133\],50.99µm
_012667_,50.98µm
_017685_,50.96µm
_024950_,50.94µm
_048548_,50.94µm
_031573_,50.93µm
_050923_,50.93µm
net6679,50.925µm
_021595_,50.92µm
_056756_,50.92µm
u_dma.dma_state\[0\],50.92µm
_037705_,50.9µm
u_npu.u_npu_engine.rq_ab\[47\],50.9µm
u_uart2.u_rx.clk_cnt_r\[21\],50.895µm
_027721_,50.88µm
_013174_,50.86µm
_013711_,50.86µm
_054598_,50.86µm
_038736_,50.85µm
iram_m0_rdata\[3\],50.845µm
u_core.load_store_unit_i.rdata_q\[28\],50.845µm
_016713_,50.84µm
_046426_,50.84µm
_014385_,50.83µm
_040053_,50.82µm
_040724_,50.82µm
_044721_,50.82µm
_038701_,50.8µm
u_npu.u_npu_engine.conv_acc\[25\],50.8µm
_045821_,50.78µm
_017953_,50.76µm
_041659_,50.74µm
u_i2c.reg_tdr\[6\],50.725µm
_047428_,50.72µm
_012974_,50.7µm
_047980_,50.7µm
_026291_,50.69µm
u_core.ex_stage_i.alu_i.alu_div_i.AReg_DP\[10\],50.68µm
_014288_,50.66µm
_016196_,50.66µm
_045348_,50.66µm
_035858_,50.64µm
_022235_,50.62µm
_031782_,50.62µm
_051584_,50.62µm
u_npu.u_npu_sram.dout_b\[36\],50.62µm
net6870,50.615µm
_017767_,50.6µm
_030197_,50.58µm
_052437_,50.58µm
_052458_,50.58µm
u_npu.u_npu_engine.quotient\[8\],50.58µm
_048789_,50.56µm
_014685_,50.54µm
_050367_,50.54µm
u_npu.u_npu_sram.dout_a\[1\],50.53µm
_013204_,50.52µm
_014672_,50.5µm
_029748_,50.5µm
_027811_,50.48µm
s12_rvalid,50.465µm
_032000_,50.46µm
_019328_,50.45µm
_054129_,50.44µm
_056268_,50.44µm
u_core.cs_registers_i.depc_o\[26\],50.44µm
_048097_,50.42µm
_011916_,50.405µm
u_jtag.reg_cmd\[1\],50.385µm
_035118_,50.38µm
_035786_,50.38µm
_047151_,50.38µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[28\],50.38µm
u_qspi.reg_adr\[1\],50.36µm
_015607_,50.35µm
_054292_,50.32µm
u_jtag.fault_addr_r\[23\],50.3µm
u_uart1.u_rx.clk_cnt_r\[26\],50.3µm
_022876_,50.28µm
_024202_,50.28µm
_025406_,50.28µm
_034011_,50.28µm
_036330_,50.28µm
_051819_,50.26µm
net6315,50.26µm
_030393_,50.22µm
u_npu.u_npu_engine.conv_acc\[131\],50.22µm
_014227_,50.21µm
_045457_,50.18µm
_012507_,50.16µm
_033922_,50.16µm
_044437_,50.16µm
clknet_leaf_801_clk_i_regs,50.16µm
_038831_,50.155µm
_029768_,50.14µm
_013163_,50.13µm
_013594_,50.12µm
_021922_,50.12µm
_052702_,50.12µm
u_core.id_stage_i.controller_i.ctrl_fsm_cs\[8\],50.12µm
_040676_,50.09µm
_013613_,50.08µm
_017776_,50.08µm
_047764_,50.08µm
_015895_,50.06µm
_029383_,50.06µm
clknet_leaf_1204_clk_i_regs,50.06µm
_046831_,50.04µm
_048180_,50.04µm
_050234_,50.04µm
_034031_,50.02µm
_035022_,50.02µm
_040846_,50.02µm
_049592_,50µm
u_npu.u_npu_engine.quotient\[7\],50µm
_055006_,49.985µm
_018013_,49.98µm
u_dma.aw_done_q,49.98µm
_017449_,49.96µm
u_npu.u_npu_engine.conv_acc\[106\],49.94µm
u_uart1.u_rx.clk_cnt_r\[3\],49.92µm
_046580_,49.9µm
_052220_,49.9µm
_022997_,49.88µm
_035995_,49.88µm
u_uart1.u_tx.clk_cnt_r\[6\],49.88µm
s4_rdata\[24\],49.86µm
_033695_,49.85µm
_045965_,49.85µm
_012197_,49.84µm
_016980_,49.84µm
_048831_,49.84µm
u_core.cs_registers_i.gen_trigger_regs.tmatch_value_q\[23\],49.84µm
_035483_,49.82µm
_046337_,49.82µm
_024292_,49.8µm
_047698_,49.8µm
_056529_,49.8µm
net7004,49.8µm
_022846_,49.78µm
_028181_,49.78µm
_054541_,49.78µm
_054688_,49.78µm
u_npu.u_npu_sram.dout_a\[314\],49.78µm
u_qspi.bit_cnt\[0\],49.78µm
_022513_,49.74µm
_030538_,49.74µm
_053764_,49.74µm
net6530,49.73µm
net15557,49.72µm
net6959,49.7µm
_016653_,49.68µm
u_npu.in_offset_addr\[1\],49.68µm
u_dma.w_data_lat\[13\],49.67µm
_027682_,49.66µm
_018097_,49.645µm
_024265_,49.62µm
_031390_,49.62µm
u_npu.u_npu_sram.dout_a\[415\],49.61µm
_016883_,49.6µm
u_core.cs_registers_i.mhpmcounter_q\[174\],49.6µm
u_qspi.tx_wr_ptr\[0\],49.6µm
_017547_,49.58µm
u_npu.u_npu_engine.rq_ab\[35\],49.56µm
_017959_,49.54µm
_022411_,49.54µm
_024707_,49.54µm
_037453_,49.54µm
_048096_,49.54µm
u_i2c.reg_nby\[31\],49.54µm
_011982_,49.46µm
_027289_,49.46µm
_052979_,49.46µm
u_dma.reg_xfer_len\[2\],49.46µm
u_i2c.op_rw,49.46µm
u_jtag.ir_reg\[1\],49.46µm
u_npu.u_npu_sram.dout_a\[428\],49.45µm
u_npu.u_npu_sram.dout_b\[151\],49.45µm
_039199_,49.44µm
_019601_,49.42µm
_020529_,49.42µm
_020549_,49.42µm
_029351_,49.4µm
u_npu.u_npu_sram.dout_b\[32\],49.4µm
_050123_,49.39µm
_024902_,49.38µm
_047862_,49.36µm
_019083_,49.34µm
_031037_,49.34µm
_051552_,49.34µm
_047491_,49.32µm
u_npu.u_npu_sram.dout_a\[387\],49.31µm
_017078_,49.3µm
_053788_,49.3µm
u_npu.u_npu_sram.dout_b\[269\],49.29µm
_055219_,49.28µm
u_core.cs_registers_i.mhpmevent_q\[105\],49.28µm
u_qspi.reg_adr\[12\],49.28µm
_012085_,49.26µm
_055489_,49.26µm
iram_m0_rdata\[10\],49.245µm
_050646_,49.24µm
u_npu.u_npu_engine.conv_acc\[236\],49.24µm
_056169_,49.22µm
_014579_,49.2µm
_051583_,49.19µm
_055394_,49.18µm
_046908_,49.16µm
_048835_,49.16µm
s2_rdata\[25\],49.16µm
u_npu.u_npu_engine.divisor\[13\],49.155µm
u_npu.u_npu_sram.dout_a\[433\],49.15µm
_013599_,49.14µm
_040802_,49.14µm
_050725_,49.14µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[19\],49.14µm
u_npu.axi_ram_addr_a\[12\],49.14µm
_012591_,49.125µm
_017287_,49.12µm
_019287_,49.12µm
_014923_,49.1µm
_031324_,49.1µm
_012387_,49.08µm
_026545_,49.08µm
_049254_,49.08µm
u_uart1.u_tx.clk_cnt_r\[5\],49.08µm
_024526_,49.06µm
_042457_,49.06µm
u_jtag.jtag_dr_latched\[15\],49.06µm
u_npu.u_npu_sram.dout_a\[272\],49.06µm
u_core.ex_stage_i.mult_i.op_b_i\[29\],49.04µm
u_npu.u_npu_engine.conv_acc\[180\],49.04µm
u_npu.u_npu_sram.dout_a\[416\],49.03µm
u_uart2.u_tx.clk_cnt_r\[11\],49.025µm
_052011_,49.02µm
_020535_,49µm
_049673_,49µm
_045043_,48.995µm
_029363_,48.98µm
net6520,48.98µm
_050520_,48.96µm
u_npu.u_npu_engine.div_den\[1\],48.935µm
_014568_,48.93µm
_033847_,48.92µm
_035394_,48.9µm
_039937_,48.9µm
net1461,48.89µm
_040974_,48.86µm
u_timer.prescaler_counter\[23\],48.86µm
u_qspi.ccr_prescaler\[0\],48.845µm
_046390_,48.82µm
_053670_,48.82µm
_056579_,48.81µm
_036927_,48.8µm
_029056_,48.79µm
_033623_,48.78µm
_049201_,48.78µm
u_npu.u_npu_engine.exp_val\[10\],48.78µm
u_npu.u_npu_engine.fc_acc\[72\],48.78µm
net6718,48.78µm
_052223_,48.76µm
_013590_,48.74µm
_013646_,48.74µm
_026167_,48.74µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[30\],48.74µm
_018384_,48.72µm
_033898_,48.72µm
_024259_,48.7µm
_024588_,48.7µm
_029917_,48.7µm
_044896_,48.7µm
_024673_,48.68µm
_056820_,48.68µm
u_uart2.u_rx.clk_cnt_r\[19\],48.68µm
net739,48.68µm
_027269_,48.675µm
_015580_,48.66µm
_055676_,48.66µm
_012679_,48.62µm
_024980_,48.62µm
_025009_,48.62µm
u_jtag.dr_reg\[50\],48.61µm
u_uart1.u_rx.clk_cnt_r\[23\],48.605µm
_015236_,48.6µm
_031130_,48.6µm
_041136_,48.6µm
_049625_,48.6µm
u_npu.u_npu_sram.dout_a\[275\],48.6µm
u_uart2.u_tx.clk_cnt_r\[5\],48.595µm
net14773,48.56µm
_017166_,48.54µm
_050925_,48.54µm
_052031_,48.54µm
u_core.cs_registers_i.mhpmcounter_q\[200\],48.54µm
u_uart2.u_rx.clk_cnt_r\[27\],48.53µm
_039054_,48.52µm
s6_rdata\[4\],48.52µm
u_npu.u_npu_sram.dout_a\[35\],48.51µm
_043807_,48.5µm
_035370_,48.48µm
_053605_,48.48µm
_056062_,48.48µm
_047348_,48.44µm
u_npu.u_npu_sram.dout_a\[430\],48.43µm
_028201_,48.42µm
u_uart2.u_rx.clk_cnt_r\[15\],48.415µm
u_npu.u_npu_sram.dout_a\[157\],48.41µm
_026010_,48.4µm
_052584_,48.4µm
_053698_,48.4µm
_054848_,48.4µm
_017383_,48.38µm
u_npu.u_npu_sram.dout_a\[443\],48.37µm
_017895_,48.36µm
_030344_,48.36µm
_049452_,48.36µm
s10_rdata\[3\],48.345µm
u_npu.u_npu_sram.dout_b\[256\],48.34µm
_013262_,48.33µm
_038604_,48.32µm
u_uart2.u_rx.clk_cnt_r\[2\],48.32µm
u_npu.u_npu_sram.dout_a\[33\],48.31µm
_015689_,48.3µm
_017239_,48.3µm
_028087_,48.3µm
_038760_,48.29µm
_038841_,48.29µm
_026674_,48.28µm
_045504_,48.28µm
_053237_,48.28µm
u_npu.in_offset_addr\[3\],48.28µm
u_core.cs_registers_i.mcountinhibit_q\[2\],48.245µm
_032542_,48.24µm
_044697_,48.24µm
_054227_,48.24µm
_022603_,48.2µm
_049926_,48.2µm
net7015,48.2µm
_054189_,48.195µm
_022367_,48.18µm
_032601_,48.18µm
_051668_,48.18µm
u_npu.u_npu_engine.conv_acc\[151\],48.18µm
_055967_,48.175µm
_050207_,48.16µm
clknet_leaf_203_clk_i_regs,48.16µm
net6835,48.16µm
net1458,48.15µm
u_npu.u_npu_sram.dout_a\[406\],48.13µm
_013095_,48.12µm
u_dma.reg_dst_addr\[3\],48.12µm
_031129_,48.08µm
_032752_,48.08µm
_046989_,48.08µm
u_jtag.reg_addr\[29\],48.08µm
u_npu.u_npu_sram.dout_b\[40\],48.08µm
_041059_,48.06µm
_049155_,48.06µm
_055564_,48.06µm
_056453_,48.06µm
s2_rdata\[30\],48.055µm
_053404_,48.05µm
_024700_,48.04µm
_038389_,48.04µm
_051388_,48.04µm
_054342_,48.04µm
_017618_,48.02µm
_048444_,48.02µm
u_dma.reg_dst_addr\[7\],48.02µm
_034089_,48µm
_038589_,48µm
_042362_,47.985µm
u_i2c.op_tdr\[16\],47.96µm
_017893_,47.94µm
u_core.cs_registers_i.mepc_o\[14\],47.94µm
_012562_,47.935µm
_044643_,47.92µm
_049037_,47.92µm
_031274_,47.9µm
u_core.cs_registers_i.mip\[17\],47.9µm
u_core.ex_stage_i.alu_i.alu_div_i.AReg_DP\[11\],47.89µm
_028187_,47.88µm
_040379_,47.88µm
_017599_,47.86µm
_031340_,47.86µm
_032479_,47.86µm
_034988_,47.86µm
_038436_,47.86µm
_049288_,47.86µm
u_npu.u_npu_sram.dout_a\[182\],47.85µm
u_npu.u_npu_sram.dout_a\[405\],47.85µm
_023393_,47.84µm
_024297_,47.84µm
_016667_,47.82µm
_019318_,47.82µm
u_core.ex_stage_i.alu_i.alu_div_i.AReg_DP\[9\],47.82µm
u_uart2.pack_data_r\[5\],47.82µm
_017915_,47.8µm
_022608_,47.78µm
net7100,47.77µm
_012338_,47.76µm
_027658_,47.76µm
_044415_,47.76µm
_054583_,47.76µm
_054723_,47.76µm
u_data_ram.dout_r\[22\],47.76µm
u_npu.u_npu_engine.fc_acc\[0\],47.76µm
_035241_,47.72µm
_041028_,47.72µm
_047711_,47.72µm
_054293_,47.7µm
u_npu.u_npu_sram.dout_b\[11\],47.7µm
s9_rdata\[24\],47.68µm
_000036_,47.66µm
_039287_,47.66µm
_046142_,47.64µm
u_npu.u_npu_sram.dout_a\[265\],47.64µm
_013604_,47.62µm
_017990_,47.62µm
_034313_,47.62µm
_016719_,47.6µm
_025678_,47.6µm
_050102_,47.6µm
_035598_,47.58µm
_013128_,47.57µm
_044885_,47.53µm
_016070_,47.52µm
_049629_,47.52µm
u_npu.u_npu_sram.dout_a\[412\],47.52µm
u_npu.u_npu_engine.fc_idx\[6\],47.505µm
_019171_,47.5µm
u_timer.reg_tim_pre\[8\],47.485µm
_021732_,47.48µm
_022922_,47.48µm
_054931_,47.48µm
_012873_,47.46µm
_032290_,47.46µm
u_npu.u_npu_sram.dout_a\[436\],47.45µm
_014508_,47.44µm
_017102_,47.44µm
_025677_,47.44µm
_054907_,47.44µm
u_npu.u_npu_sram.dout_a\[159\],47.43µm
u_npu.u_npu_sram.dout_a\[407\],47.43µm
u_uart1.reg_tdr_r\[6\],47.425µm
_056484_,47.4µm
_045748_,47.38µm
_051424_,47.38µm
s10_rdata\[2\],47.375µm
_014347_,47.37µm
_019501_,47.36µm
_036374_,47.36µm
s5_rdata\[31\],47.36µm
clknet_leaf_1203_clk_i_regs,47.36µm
_051210_,47.32µm
u_data_ram.rsel_q\[0\],47.31µm
_017863_,47.3µm
_023795_,47.3µm
_044606_,47.29µm
_015042_,47.28µm
s12_rdata\[29\],47.28µm
u_gpio.gpio_in_q2\[15\],47.255µm
_038071_,47.24µm
_042160_,47.24µm
s5_awready,47.24µm
u_npu.u_npu_engine.kw\[1\],47.24µm
u_uart2.u_rx.clk_cnt_r\[30\],47.24µm
_047093_,47.22µm
u_npu.u_npu_sram.dout_a\[279\],47.22µm
_041119_,47.21µm
_022437_,47.2µm
_034856_,47.2µm
u_npu.u_npu_sram.dout_b\[275\],47.19µm
u_npu.u_npu_sram.dout_a\[400\],47.17µm
u_npu.u_npu_sram.dout_a\[422\],47.17µm
_044580_,47.16µm
_053596_,47.16µm
_049010_,47.14µm
u_npu.u_npu_engine.conv_acc\[242\],47.14µm
u_npu.u_npu_sram.dout_a\[268\],47.14µm
_016195_,47.12µm
_033818_,47.12µm
_055469_,47.12µm
_056675_,47.12µm
u_qspi.ccr_instr\[6\],47.105µm
_012186_,47.1µm
_013639_,47.1µm
_019273_,47.1µm
_037357_,47.1µm
_048596_,47.1µm
net6422,47.1µm
u_core.load_store_unit_i.rdata_q\[27\],47.095µm
u_uart1.reg_cpb_r\[16\],47.085µm
_015105_,47.08µm
_055033_,47.08µm
_022871_,47.06µm
_056502_,47.06µm
u_npu.u_npu_sram.dout_a\[432\],47.05µm
_017484_,47.02µm
_018010_,47.02µm
_029644_,47.02µm
u_timer.reg_tim_pre\[16\],46.985µm
_018363_,46.98µm
_030783_,46.98µm
_032626_,46.98µm
net31,46.94µm
_012661_,46.93µm
_017873_,46.93µm
_055762_,46.92µm
net42,46.905µm
_026264_,46.9µm
_014006_,46.89µm
_013265_,46.88µm
_016771_,46.88µm
_041013_,46.88µm
u_uart2.u_rx.clk_cnt_r\[28\],46.88µm
_033900_,46.86µm
_044846_,46.86µm
_021701_,46.84µm
_044182_,46.84µm
u_timer.prescaler_counter\[16\],46.83µm
_017817_,46.82µm
_024695_,46.82µm
_034770_,46.82µm
net1534,46.82µm
_013171_,46.8µm
u_core.cs_registers_i.pc_if_i\[30\],46.8µm
_047032_,46.78µm
_050842_,46.78µm
u_npu.out_offset_addr\[6\],46.78µm
_039182_,46.76µm
_047627_,46.76µm
_014011_,46.74µm
_055745_,46.74µm
u_uart2.reg_cpb_r\[5\],46.74µm
_045417_,46.72µm
_046399_,46.72µm
_052648_,46.72µm
_033859_,46.71µm
_041006_,46.71µm
_019911_,46.68µm
_037885_,46.68µm
u_dma.xfer_cnt\[3\],46.68µm
_030999_,46.67µm
_018321_,46.64µm
_031189_,46.64µm
_049911_,46.64µm
u_jtag.fault_addr_r\[2\],46.64µm
u_uart1.u_tx.clk_cnt_r\[30\],46.64µm
_014015_,46.63µm
_013453_,46.61µm
_031341_,46.6µm
_036455_,46.6µm
_017824_,46.595µm
_023163_,46.59µm
u_npu.u_npu_sram.dout_a\[145\],46.59µm
_023202_,46.58µm
_044877_,46.58µm
u_npu.u_npu_engine.div_num\[12\],46.58µm
_014657_,46.56µm
_025084_,46.56µm
_028368_,46.56µm
u_uart2.u_tx.clk_cnt_r\[4\],46.545µm
_016833_,46.54µm
_038752_,46.54µm
_018460_,46.52µm
iram_m0_rdata\[11\],46.5µm
u_dma.w_data_lat\[15\],46.5µm
net6897,46.5µm
u_npu.u_npu_sram.dout_a\[384\],46.49µm
_021399_,46.48µm
