Time resolution is 1 ps
[0] SoC Simülasyonu Başlatıldı.
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/ybari/OneDrive/Desktop/Arkhe_2026/cv32e40p-master/rtl/cv32e40p_load_store_unit.sv:419
[0] GPIO Çıkışı Değişti: gpio_o = 16'h0000
[150000] PC_ID=0x00000000 | x10(a0)=0x00000000 | x12(a2)=0x00000000 | x13(a3)=0x00000000 | x14(a4)=0x00000000 | x15(a5)=0x00000000 | awaddr=0x00000000 | awvalid=0 | rx_wr=0 | rx_rd=0 | rx_empty=1
[590000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=1 | rx_wr=24 | rx_rd=1 | rx_empty=0
[610000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=1 | rx_wr=24 | rx_rd=1 | rx_empty=0
[630000] PC_ID=0x00000014 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=1 | rx_wr=24 | rx_rd=1 | rx_empty=0
[650000] PC_ID=0x00000018 | x10(a0)=0x40050000 | x12(a2)=0x01000000 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[670000] PC_ID=0x00000018 | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[690000] PC_ID=0x0000001c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000018 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[710000] PC_ID=0x0000001c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[730000] PC_ID=0x0000001c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[750000] PC_ID=0x0000001c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
[770000] PC_ID=0x0000001c | x10(a0)=0x40050000 | x12(a2)=0x01000004 | x13(a3)=0x00000017 | x14(a4)=0x00000000 | x15(a5)=0x40000537 | awaddr=0x01000000 | awvalid=0 | rx_wr=24 | rx_rd=1 | rx_empty=0
