Metric,Value
global_route__vias,392
global_route__wirelength,11626914
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,7279
design__instance__count__class:antenna_cell,10125
design__instance__area__class:antenna_cell,25336.8
flow__warnings__count:GRT-0243,2
flow__warnings__count:RSZ-0064,1
route__net,131156
route__net__special,2
route__drc_errors__iter:0,1021
route__wirelength__iter:0,8980098
route__drc_errors__iter:1,322
route__wirelength__iter:1,8979965
route__drc_errors__iter:2,210
route__wirelength__iter:2,8979933
route__drc_errors__iter:3,25
route__wirelength__iter:3,8979892
route__drc_errors__iter:4,0
route__wirelength__iter:4,8979868
route__drc_errors__iter:5,19
route__wirelength__iter:5,8982682
route__drc_errors__iter:6,19
route__wirelength__iter:6,8982682
route__drc_errors__iter:7,0
route__wirelength__iter:7,8982700
route__drc_errors,0
route__wirelength,8979868
route__vias,936702
route__vias__singlecut,936702
route__vias__multicut,0
route__drc_errors__iter:8,0
route__wirelength__iter:8,8988338
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,257
design__critical_disconnected_pin__count,0
route__wirelength__max,6650.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1497
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1497
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1497
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3643
design__max_fanout_violation__count__corner:min_tt_025C_1v80,66
design__max_cap_violation__count__corner:min_tt_025C_1v80,1168
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.6274573260788399
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.8500141942017714
timing__hold__ws__corner:min_tt_025C_1v80,-0.1340056992190358
timing__setup__ws__corner:min_tt_025C_1v80,4.098494104549039
timing__hold__tns__corner:min_tt_025C_1v80,-0.17163826401526158
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,-0.1340056992190358
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,2
timing__hold_r2r__ws__corner:min_tt_025C_1v80,-0.134006
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,2
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.044205
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1497
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,10491
design__max_fanout_violation__count__corner:min_ss_100C_1v60,66
design__max_cap_violation__count__corner:min_ss_100C_1v60,1209
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.0224570368657337
clock__skew__worst_setup__corner:min_ss_100C_1v60,2.8306002787326006
timing__hold__ws__corner:min_ss_100C_1v60,0.2453739503257339
timing__setup__ws__corner:min_ss_100C_1v60,1.3799344280058652
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.245374
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,1.889202
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,1497
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,2306
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,66
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1167
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-1.117467039420357
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.4351908956380335
timing__hold__ws__corner:min_ff_n40C_1v95,-0.2281401798716782
timing__setup__ws__corner:min_ff_n40C_1v95,5.220533486603327
timing__hold__tns__corner:min_ff_n40C_1v95,-0.43453708528034074
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.2281401798716782
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,3
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-0.228140
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,3
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,9.065047
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1497
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,5335
design__max_fanout_violation__count__corner:max_tt_025C_1v80,66
design__max_cap_violation__count__corner:max_tt_025C_1v80,1875
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.1700832856029937
clock__skew__worst_setup__corner:max_tt_025C_1v80,2.489609255885209
timing__hold__ws__corner:max_tt_025C_1v80,-0.6530487446763417
timing__setup__ws__corner:max_tt_025C_1v80,3.1450505312472834
timing__hold__tns__corner:max_tt_025C_1v80,-2.4100229161140994
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,-0.6530487446763417
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,12
timing__hold_r2r__ws__corner:max_tt_025C_1v80,-0.653049
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,12
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,5.960772
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1497
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,17065
design__max_fanout_violation__count__corner:max_ss_100C_1v60,66
design__max_cap_violation__count__corner:max_ss_100C_1v60,1911
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.622171110019885
clock__skew__worst_setup__corner:max_ss_100C_1v60,3.553399453037509
timing__hold__ws__corner:max_ss_100C_1v60,-0.32002135180981345
timing__setup__ws__corner:max_ss_100C_1v60,0.22055247141758497
timing__hold__tns__corner:max_ss_100C_1v60,-0.46999561128825956
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,-0.32002135180981345
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,2
timing__hold_r2r__ws__corner:max_ss_100C_1v60,-0.320021
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,2
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.445542
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,1497
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,3401
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,66
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1875
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.6397175192865174
clock__skew__worst_setup__corner:max_ff_n40C_1v95,1.9493445187566079
timing__hold__ws__corner:max_ff_n40C_1v95,-0.6455556272266217
timing__setup__ws__corner:max_ff_n40C_1v95,4.379391195864552
timing__hold__tns__corner:max_ff_n40C_1v95,-4.623482172426744
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.6455556272266217
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,23
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-0.645556
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,23
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.973228
