Metric,Value
antenna__violating__pins,1
route__antenna_violation__count,1
flow__warnings__count:EST-0026,1001
antenna_diodes_count,7075
design__instance__count__class:timing_repair_inverter,1
design__instance__area__class:timing_repair_inverter,7.5072
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
route__net,127829
route__net__special,2
route__drc_errors__iter:0,30
route__wirelength__iter:0,8469196
route__drc_errors__iter:1,3
route__wirelength__iter:1,8469170
route__drc_errors__iter:2,3
route__wirelength__iter:2,8469170
route__drc_errors__iter:3,0
route__wirelength__iter:3,8469157
route__drc_errors__iter:4,0
route__wirelength__iter:4,8469174
route__drc_errors__iter:5,3
route__wirelength__iter:5,8471329
route__drc_errors__iter:6,0
route__wirelength__iter:6,8471326
route__drc_errors__iter:7,24
route__wirelength__iter:7,8479227
route__drc_errors,0
route__wirelength,8469157
route__vias,913404
route__vias__singlecut,913404
route__vias__multicut,0
route__drc_errors__iter:8,0
route__wirelength__iter:8,8479229
design__instance__count__class:antenna_cell,7075
design__instance__area__class:antenna_cell,17704.5
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
design__disconnected_pin__count,257
design__critical_disconnected_pin__count,0
route__wirelength__max,6654.19
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1432
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1432
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1432
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,2709
design__max_fanout_violation__count__corner:min_tt_025C_1v80,17
design__max_cap_violation__count__corner:min_tt_025C_1v80,1183
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.4232204706479783
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.322412217160962
timing__hold__ws__corner:min_tt_025C_1v80,0.4167231122572067
timing__setup__ws__corner:min_tt_025C_1v80,2.1095739086035517
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.416723
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,2.315431
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1432
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,14124
design__max_fanout_violation__count__corner:min_ss_100C_1v60,17
design__max_cap_violation__count__corner:min_ss_100C_1v60,1234
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.3955740291737753
clock__skew__worst_setup__corner:min_ss_100C_1v60,-2.0455739903159684
timing__hold__ws__corner:min_ss_100C_1v60,0.6044569460494877
timing__setup__ws__corner:min_ss_100C_1v60,-6.22989677479092
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-2993.2039916071576
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-6.22989677479092
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.938620
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,1561
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-6.229897
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,1560
timing__unannotated_net__count__corner:min_ss_100C_1v60,1432
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,1377
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,17
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1184
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.9526605329803416
clock__skew__worst_setup__corner:min_ff_n40C_1v95,1.0475085539910909
timing__hold__ws__corner:min_ff_n40C_1v95,0.18274937635995386
timing__setup__ws__corner:min_ff_n40C_1v95,3.107969969354513
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.182749
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,4.604687
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1432
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,4916
design__max_fanout_violation__count__corner:max_tt_025C_1v80,17
design__max_cap_violation__count__corner:max_tt_025C_1v80,1761
clock__skew__worst_hold__corner:max_tt_025C_1v80,-1.7148667415919199
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.7562647389049582
timing__hold__ws__corner:max_tt_025C_1v80,0.27845815330603885
timing__setup__ws__corner:max_tt_025C_1v80,1.165096496702249
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.278458
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,1.165097
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1432
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,21632
design__max_fanout_violation__count__corner:max_ss_100C_1v60,17
design__max_cap_violation__count__corner:max_ss_100C_1v60,1798
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.844151217265212
clock__skew__worst_setup__corner:max_ss_100C_1v60,-2.494151178407405
timing__hold__ws__corner:max_ss_100C_1v60,-0.20714630597147904
timing__setup__ws__corner:max_ss_100C_1v60,-9.231106806899682
timing__hold__tns__corner:max_ss_100C_1v60,-2.7471532493064714
timing__setup__tns__corner:max_ss_100C_1v60,-6092.0430673287
timing__hold__wns__corner:max_ss_100C_1v60,-0.20714630597147904
