net,length_um
net1805,1.70484mm
clknet_7_98_0_clk_i_regs,1.70435mm
net486,1.7042mm
net351,1.70377mm
net359,1.70166mm
net447,1.69978mm
net353,1.69709mm
net391,1.68854mm
net3558,1.68828mm
net249,1.6872mm
net7933,1.68718mm
net361,1.68603mm
net2207,1.68335mm
net1806,1.68267mm
_071775_,1.68232mm
net399,1.67898mm
net1907,1.67764mm
net367,1.67682mm
net468,1.67586mm
iram_s_wdata\[13\],1.67153mm
net3277,1.66841mm
net407,1.66787mm
net2917,1.66578mm
net475,1.66552mm
net614,1.66329mm
net2208,1.6626mm
net638,1.6612mm
net482,1.6608mm
net401,1.66026mm
net375,1.65729mm
net3311,1.65475mm
net626,1.65404mm
net1743,1.6528mm
net461,1.65019mm
net383,1.64979mm
net10004,1.64826mm
net6425,1.64274mm
net393,1.63899mm
clknet_leaf_0_clk_i,1.63847mm
net489,1.6374mm
_034163_,1.63312mm
net658,1.63306mm
net7867,1.62305mm
_027691_,1.62286mm
net409,1.6228mm
iram_s_wdata\[12\],1.62236mm
net612,1.61729mm
net2822,1.61612mm
_086863_,1.606985mm
net421,1.6068mm
iram_m0_rdata\[22\],1.60648mm
net1961,1.60344mm
net655,1.59913mm
_033608_,1.59294mm
net3757,1.59041mm
net3552,1.58948mm
net3387,1.58808mm
net435,1.58734mm
net3610,1.582955mm
net621,1.58047mm
net3413,1.57949mm
_039300_,1.57739mm
net619,1.57515mm
net449,1.57464mm
net7872,1.565mm
net3230,1.5647mm
_031817_,1.56334mm
_039337_,1.56148mm
_032020_,1.56053mm
net192,1.55736mm
net641,1.55606mm
net1798,1.55583mm
net633,1.55577mm
net428,1.55263mm
net465,1.55241mm
net2844,1.55193mm
net444,1.55142mm
_033346_,1.54908mm
_034245_,1.54901mm
net3254,1.54891mm
net472,1.54886mm
_027793_,1.54782mm
net451,1.54666mm
net635,1.54602mm
net645,1.54408mm
net3557,1.5433mm
net10084,1.54038mm
net10100,1.53914mm
net7952,1.53807mm
u_instruction_ram.aw_addr_reg\[9\],1.53757mm
_028804_,1.53754mm
net458,1.53636mm
net1820,1.53511mm
net24807,1.53478mm
_071337_,1.53142mm
net2972,1.53142mm
_071341_,1.53102mm
net651,1.53073mm
net3064,1.53065mm
net1797,1.52977mm
net463,1.52947mm
net3665,1.5289mm
_071325_,1.52615mm
net2386,1.525715mm
net2642,1.52318mm
_029087_,1.52204mm
net1960,1.51916mm
net3266,1.51887mm
net470,1.51832mm
net1958,1.51418mm
net442,1.514mm
net477,1.51223mm
net653,1.51168mm
_034147_,1.50876mm
net3218,1.50793mm
net1962,1.50748mm
net484,1.50733mm
net3206,1.50637mm
net7880,1.50629mm
net661,1.50582mm
net7783,1.5043mm
net479,1.50385mm
net643,1.50306mm
net491,1.50124mm
net2237,1.50043mm
u_instruction_ram.aw_addr_reg\[11\],1.49693mm
net601,1.4931mm
net493,1.49291mm
clknet_7_10_0_clk_i_regs,1.49183mm
clknet_7_83_0_clk_i_regs,1.491535mm
net456,1.49153mm
net2176,1.490375mm
jtag_tck,1.48336mm
net3278,1.4815mm
net2060,1.480895mm
iram_s_wdata\[14\],1.480005mm
net24874,1.47958mm
_033620_,1.4791mm
net7953,1.47838mm
net275,1.47494mm
net2846,1.47362mm
u_instruction_ram.aw_addr_reg\[8\],1.47235mm
u_instruction_ram.aw_addr_reg\[5\],1.47186mm
iram_s_wdata\[15\],1.46948mm
net1893,1.46651mm
_026254_,1.46556mm
net1652,1.46522mm
_029090_,1.4641mm
net3242,1.46383mm
net247,1.46365mm
net2885,1.46154mm
net1959,1.461215mm
net2162,1.46108mm
net3758,1.45915mm
net7148,1.4579mm
u_npu.u_npu_sram.sel_a_q\[1\],1.45436mm
_027842_,1.45274mm
_032095_,1.45106mm
_034269_,1.450345mm
net3472,1.44907mm
_086904_,1.44812mm
net3806,1.44619mm
_000042_,1.44424mm
clknet_leaf_4_clk_i,1.44414mm
net2061,1.44413mm
net3813,1.44358mm
net3312,1.4432mm
net3823,1.441245mm
net7781,1.43944mm
_038851_,1.439mm
clknet_7_9_0_clk_i_regs,1.43818mm
net1673,1.437535mm
net3414,1.4375mm
net7932,1.43389mm
net1900,1.43223mm
net248,1.43113mm
instr_axil_araddr\[11\],1.4279mm
_071321_,1.42765mm
_032080_,1.42762mm
_033829_,1.42724mm
net3468,1.424685mm
merged_m_araddr\[8\],1.42433mm
net403,1.42216mm
net2283,1.421315mm
net7941,1.41723mm
net387,1.41671mm
net3467,1.4158mm
net2641,1.41512mm
s12_rdata\[15\],1.414245mm
net3815,1.41374mm
_031990_,1.41358mm
net2686,1.411235mm
