net,length_um
u_core.cs_registers_i.mscratch_q\[6\],26.36µm
u_core.id_stage_i.register_file_i.mem\[397\],26.36µm
u_i2c.op_tdr\[2\],26.36µm
net22239,26.36µm
_058226_,26.34µm
_062315_,26.34µm
u_uart1.u_tx.clk_cnt_r\[0\],26.34µm
_014108_,26.32µm
_014774_,26.32µm
_015152_,26.32µm
_017058_,26.32µm
_018087_,26.32µm
_034129_,26.32µm
_071155_,26.32µm
_076501_,26.32µm
_022329_,26.3µm
_028688_,26.3µm
_029020_,26.3µm
_054329_,26.3µm
_060997_,26.3µm
_076473_,26.3µm
_081617_,26.3µm
_081775_,26.3µm
_087007_,26.3µm
u_jtag.dr_reg\[9\],26.3µm
net18880,26.3µm
_012264_,26.28µm
_013512_,26.28µm
_014694_,26.28µm
_020270_,26.28µm
_027393_,26.28µm
_052513_,26.28µm
_053902_,26.28µm
_056225_,26.28µm
_063993_,26.28µm
_070724_,26.28µm
_074044_,26.28µm
_082698_,26.28µm
_086372_,26.28µm
u_qspi.reg_adr\[26\],26.28µm
_048609_,26.27µm
_084430_,26.27µm
_015756_,26.26µm
_039299_,26.26µm
_054707_,26.26µm
_059616_,26.26µm
_073967_,26.26µm
_076716_,26.26µm
_086911_,26.26µm
u_core.cs_registers_i.mtvec_o\[3\],26.26µm
net7407,26.26µm
net12490,26.26µm
net16436,26.26µm
u_core.id_stage_i.register_file_i.mem\[413\],26.245µm
_013097_,26.24µm
_014414_,26.24µm
_014713_,26.24µm
_023089_,26.24µm
_028328_,26.24µm
_053738_,26.24µm
_081571_,26.24µm
_087847_,26.24µm
_088714_,26.24µm
_088169_,26.225µm
_028658_,26.22µm
_034551_,26.22µm
_034840_,26.22µm
_038562_,26.22µm
_048801_,26.22µm
_088020_,26.22µm
dma_m_awaddr\[4\],26.22µm
u_core.cs_registers_i.depc_o\[19\],26.22µm
u_uart2.u_rx.clk_cnt_r\[15\],26.22µm
net24670,26.22µm
_078184_,26.21µm
_012526_,26.2µm
_023807_,26.2µm
_023928_,26.2µm
_026859_,26.2µm
_026937_,26.2µm
_027677_,26.2µm
_030688_,26.2µm
_049269_,26.2µm
_065560_,26.2µm
_069306_,26.2µm
_069399_,26.2µm
u_qspi.tx_fifo\[61\]\[24\],26.2µm
_051322_,26.195µm
u_npu.u_npu_engine.mac_kh_q\[1\],26.19µm
_009153_,26.18µm
_015357_,26.18µm
_035408_,26.18µm
_039079_,26.18µm
_047905_,26.18µm
_054562_,26.18µm
_055912_,26.18µm
_057794_,26.18µm
_064245_,26.18µm
_065490_,26.18µm
_075666_,26.18µm
_081093_,26.18µm
u_core.cs_registers_i.mtvec_o\[5\],26.18µm
u_npu.tcm_wdata_a\[16\],26.18µm
u_npu.u_npu_engine.rq_ab\[57\],26.18µm
net22146,26.18µm
net22266,26.18µm
net23587,26.18µm
net24026,26.18µm
_013076_,26.175µm
_051363_,26.175µm
_025292_,26.16µm
_036662_,26.16µm
_064806_,26.16µm
_075957_,26.16µm
_076019_,26.16µm
u_gpio.reg_intrpt_lvl_high_en\[14\],26.16µm
net10431,26.16µm
net11626,26.16µm
net12525,26.16µm
_025263_,26.14µm
_029002_,26.14µm
_030724_,26.14µm
_034803_,26.14µm
_077620_,26.14µm
u_core.alu_operand_c_ex\[27\],26.14µm
u_npu.u_npu_engine.rq_ab\[61\],26.14µm
net16315,26.14µm
net21220,26.14µm
_078309_,26.13µm
_019518_,26.12µm
_030299_,26.12µm
_062496_,26.12µm
_066728_,26.12µm
_083318_,26.12µm
_088242_,26.12µm
_053889_,26.11µm
_071082_,26.11µm
_037387_,26.1µm
_057195_,26.1µm
_078913_,26.1µm
_081155_,26.1µm
_086551_,26.1µm
_086934_,26.1µm
net12386,26.09µm
_012352_,26.08µm
_013940_,26.08µm
_031449_,26.08µm
_052212_,26.08µm
_053879_,26.08µm
_054268_,26.08µm
_069894_,26.08µm
dma_m_awaddr\[12\],26.08µm
u_core.ex_stage_i.regfile_alu_waddr_fw_o\[4\],26.08µm
u_i2c.op_tdr\[23\],26.08µm
_014007_,26.06µm
_025315_,26.06µm
_030482_,26.06µm
_032714_,26.06µm
_046084_,26.06µm
_056153_,26.06µm
_063613_,26.06µm
_088303_,26.06µm
s11_rvalid,26.06µm
u_core.cs_registers_i.mhpmcounter_q\[27\],26.06µm
u_dma.w_mask_lat\[16\],26.06µm
u_npu.u_npu_engine.exp_val\[9\],26.06µm
u_npu.u_npu_engine.rq_scaled\[15\],26.06µm
u_npu.u_npu_engine.t_out\[3\],26.06µm
_024372_,26.04µm
_054479_,26.04µm
_059752_,26.04µm
_077445_,26.04µm
_015396_,26.02µm
_036706_,26.02µm
_057522_,26.02µm
_061234_,26.02µm
_066704_,26.02µm
_074895_,26.02µm
_076344_,26.02µm
_078253_,26.02µm
_078532_,26.02µm
_082727_,26.02µm
net11948,26.02µm
_024250_,26.01µm
u_qspi.reg_adr\[10\],26.01µm
_030105_,26.005µm
_015903_,26µm
_016077_,26µm
_030507_,26µm
_036153_,26µm
_084633_,26µm
u_jtag.dr_reg\[20\],26µm
_038072_,25.985µm
_015849_,25.98µm
_035388_,25.98µm
_048666_,25.98µm
_060422_,25.98µm
_062296_,25.98µm
_065411_,25.98µm
_071014_,25.98µm
_083901_,25.98µm
_087957_,25.98µm
net19180,25.98µm
net23012,25.98µm
u_uart2.u_rx_fifo.mem\[179\]\[5\],25.97µm
_018621_,25.96µm
_023413_,25.96µm
_082014_,25.96µm
_087762_,25.96µm
u_npu.u_npu_engine.divisor\[3\],25.96µm
_078242_,25.945µm
_013254_,25.94µm
_013912_,25.94µm
_019030_,25.94µm
_021172_,25.94µm
_029343_,25.94µm
_030361_,25.94µm
_048052_,25.94µm
_052183_,25.94µm
_054208_,25.94µm
_063820_,25.94µm
_069268_,25.94µm
_080014_,25.94µm
u_core.cs_registers_i.mhpmcounter_q\[222\],25.94µm
net21544,25.94µm
_021295_,25.92µm
_036774_,25.92µm
_049345_,25.92µm
_082457_,25.92µm
u_core.id_stage_i.register_file_i.mem\[724\],25.92µm
gpio_tx_en_o[2],25.92µm
_030535_,25.91µm
_037302_,25.905µm
net22105,25.905µm
_036149_,25.9µm
_048158_,25.9µm
_055745_,25.9µm
_057342_,25.9µm
_057440_,25.9µm
_057891_,25.9µm
_075546_,25.9µm
_076924_,25.9µm
_088327_,25.9µm
u_uart2.u_rx_fifo.mem\[134\]\[0\],25.9µm
_076596_,25.895µm
net24617,25.885µm
_000135_,25.88µm
_030802_,25.88µm
_050748_,25.88µm
u_core.cs_registers_i.mhpmcounter_q\[135\],25.87µm
net19307,25.87µm
_014631_,25.86µm
_016612_,25.86µm
_016794_,25.86µm
_021012_,25.86µm
_022447_,25.86µm
_022850_,25.86µm
_027700_,25.86µm
_029681_,25.86µm
_032421_,25.86µm
_035178_,25.86µm
_061201_,25.86µm
_064521_,25.86µm
_073274_,25.86µm
_075056_,25.86µm
_076726_,25.86µm
_086125_,25.86µm
_087347_,25.86µm
u_core.id_stage_i.register_file_i.mem\[265\],25.86µm
_080397_,25.855µm
_073649_,25.85µm
_015794_,25.84µm
_016452_,25.84µm
_026784_,25.84µm
_038852_,25.84µm
_082368_,25.84µm
u_core.id_stage_i.register_file_i.mem\[473\],25.84µm
net10011,25.84µm
net21140,25.84µm
_017466_,25.82µm
_026967_,25.82µm
_052162_,25.82µm
_074344_,25.82µm
_075976_,25.82µm
_081670_,25.82µm
_087998_,25.82µm
u_qspi.rx_fifo\[47\]\[20\],25.82µm
_055820_,25.8µm
_063302_,25.8µm
_081533_,25.8µm
_085638_,25.8µm
u_npu.u_npu_engine.div_den\[5\],25.8µm
u_npu.u_npu_engine.rq_ab\[5\],25.8µm
net2731,25.8µm
net22998,25.785µm
_018731_,25.78µm
_058669_,25.78µm
_058828_,25.78µm
_076177_,25.78µm
_083821_,25.78µm
u_npu.u_npu_engine.conv_acc\[232\],25.78µm
u_qspi.reg_adr\[25\],25.78µm
_016888_,25.76µm
_027283_,25.76µm
_030210_,25.76µm
_030726_,25.76µm
_057883_,25.76µm
_072898_,25.76µm
net10629,25.76µm
net12156,25.76µm
net12596,25.76µm
net19337,25.76µm
_013959_,25.75µm
_025129_,25.75µm
_050940_,25.745µm
_013279_,25.74µm
_019798_,25.74µm
_023707_,25.74µm
_027076_,25.74µm
_029421_,25.74µm
_035556_,25.74µm
_064633_,25.74µm
_075154_,25.74µm
_082776_,25.74µm
_087959_,25.74µm
_080568_,25.735µm
net24270,25.735µm
_022925_,25.72µm
_024680_,25.72µm
_037186_,25.72µm
_040126_,25.72µm
_047875_,25.72µm
_050442_,25.72µm
_053607_,25.72µm
_060650_,25.72µm
_086177_,25.72µm
net23515,25.72µm
_038161_,25.7µm
_057855_,25.7µm
_059958_,25.7µm
_082467_,25.7µm
_008204_,25.685µm
_037600_,25.685µm
net13746,25.685µm
_022423_,25.68µm
_025846_,25.68µm
_035702_,25.68µm
_038339_,25.68µm
_061239_,25.68µm
_071016_,25.68µm
u_qspi.ccr_instr\[6\],25.68µm
_018857_,25.66µm
_024792_,25.66µm
_055300_,25.66µm
_057533_,25.66µm
_082201_,25.66µm
u_core.id_stage_i.register_file_i.mem\[982\],25.65µm
_013058_,25.64µm
_049207_,25.64µm
_051724_,25.64µm
_051749_,25.64µm
_055301_,25.64µm
_059167_,25.64µm
_062874_,25.64µm
_071870_,25.64µm
_075570_,25.64µm
_077379_,25.64µm
_081887_,25.64µm
_084246_,25.64µm
_085879_,25.64µm
_087996_,25.64µm
u_npu.u_npu_engine.wo_q0\[1\],25.64µm
clknet_leaf_15_clk_i_regs,25.64µm
u_core.id_stage_i.register_file_i.mem\[854\],25.63µm
u_core.cs_registers_i.mhpmevent_q\[99\],25.625µm
_013122_,25.62µm
_023941_,25.62µm
_024932_,25.62µm
_034095_,25.62µm
_072875_,25.62µm
s2_rdata\[1\],25.62µm
_012915_,25.6µm
_022781_,25.6µm
_050943_,25.6µm
_052487_,25.6µm
_054472_,25.6µm
_069410_,25.6µm
_083173_,25.6µm
_012104_,25.58µm
_017842_,25.58µm
_033264_,25.58µm
_055885_,25.58µm
_056639_,25.58µm
_066579_,25.58µm
_073121_,25.58µm
_076133_,25.58µm
_077584_,25.58µm
_086065_,25.58µm
_027921_,25.56µm
_030929_,25.56µm
_051582_,25.56µm
_059449_,25.56µm
_063246_,25.56µm
_069321_,25.56µm
_080826_,25.56µm
_081962_,25.56µm
_088136_,25.56µm
net12366,25.56µm
_021467_,25.54µm
_027144_,25.54µm
_029966_,25.54µm
_053323_,25.54µm
_054495_,25.54µm
_058824_,25.54µm
_066986_,25.54µm
u_npu.u_npu_engine.rq_ab\[22\],25.54µm
u_uart2.u_rx_fifo.mem\[135\]\[7\],25.54µm
net23728,25.54µm
_021832_,25.52µm
_030107_,25.52µm
_030906_,25.52µm
_048424_,25.52µm
_048515_,25.52µm
_056476_,25.52µm
_058765_,25.52µm
_071776_,25.52µm
_071778_,25.52µm
_077875_,25.52µm
_088599_,25.52µm
jtag_m_awvalid,25.52µm
u_uart2.u_rx_fifo.mem\[235\]\[2\],25.52µm
net24409,25.52µm
_009045_,25.5µm
_012541_,25.5µm
_020911_,25.5µm
_027191_,25.5µm
_028219_,25.5µm
_033004_,25.5µm
_043944_,25.5µm
_050180_,25.5µm
_066122_,25.5µm
_067249_,25.5µm
_071139_,25.5µm
_077004_,25.5µm
_077962_,25.5µm
_081712_,25.5µm
u_gpio.reg_intrpt_fall_en\[8\],25.5µm
_049586_,25.49µm
_037172_,25.485µm
_014222_,25.48µm
_015319_,25.48µm
_039699_,25.48µm
_058403_,25.48µm
_075885_,25.48µm
_083813_,25.48µm
_072754_,25.475µm
_019444_,25.46µm
_051824_,25.46µm
_037828_,25.445µm
_023227_,25.44µm
_025730_,25.44µm
_066817_,25.44µm
_069688_,25.44µm
_072856_,25.44µm
_076857_,25.44µm
_077704_,25.44µm
_081269_,25.44µm
u_core.alu_operand_c_ex\[30\],25.44µm
u_core.cs_registers_i.mhpmcounter_q\[29\],25.44µm
net10490,25.44µm
net9625,25.43µm
_027179_,25.42µm
_027711_,25.42µm
_028409_,25.42µm
_058806_,25.42µm
_084994_,25.42µm
_018986_,25.4µm
_022087_,25.4µm
_035640_,25.4µm
_055199_,25.4µm
_058393_,25.4µm
_077116_,25.4µm
_083766_,25.4µm
net12411,25.4µm
net22581,25.4µm
u_core.cs_registers_i.mepc_o\[16\],25.395µm
_037742_,25.385µm
_012595_,25.38µm
_017663_,25.38µm
_031497_,25.38µm
_035754_,25.38µm
_051379_,25.38µm
_051661_,25.38µm
_066551_,25.38µm
_078842_,25.38µm
_082249_,25.38µm
u_npu.u_npu_engine.div_done,25.37µm
net24214,25.365µm
_018371_,25.36µm
_027057_,25.36µm
_027554_,25.36µm
_034248_,25.36µm
_053437_,25.36µm
_076081_,25.36µm
_081303_,25.36µm
u_core.id_stage_i.register_file_i.mem\[448\],25.36µm
u_qspi.ccr_dummy_cycles\[3\],25.36µm
net22326,25.345µm
_030727_,25.34µm
_035053_,25.34µm
_038701_,25.34µm
u_npu.u_npu_engine.rq_ab\[46\],25.34µm
net18641,25.34µm
net22428,25.34µm
_031262_,25.32µm
_037444_,25.32µm
_050908_,25.32µm
_063456_,25.32µm
_066166_,25.32µm
_072461_,25.32µm
_082822_,25.32µm
_018590_,25.3µm
_020485_,25.3µm
_026612_,25.3µm
_047733_,25.3µm
_054139_,25.3µm
_054648_,25.3µm
_066674_,25.3µm
_067240_,25.3µm
_078419_,25.3µm
s7_rdata\[1\],25.3µm
_023737_,25.29µm
s12_rdata\[13\],25.285µm
_012113_,25.28µm
_023253_,25.28µm
_030229_,25.28µm
_031059_,25.28µm
_051492_,25.28µm
_060427_,25.28µm
_067504_,25.28µm
_081581_,25.28µm
_013406_,25.27µm
_056534_,25.27µm
_080127_,25.265µm
_029399_,25.26µm
_029924_,25.26µm
_030839_,25.26µm
_074225_,25.26µm
_074283_,25.26µm
_084598_,25.26µm
_085313_,25.26µm
_087410_,25.26µm
s6_bvalid,25.26µm
u_core.cs_registers_i.depc_o\[31\],25.26µm
u_qspi.tx_fifo\[11\]\[19\],25.26µm
u_qspi.tx_fifo\[57\]\[29\],25.26µm
_082615_,25.245µm
u_core.load_store_unit_i.rdata_q\[24\],25.245µm
u_dma.reg_src_addr\[6\],25.245µm
_000039_,25.24µm
_028530_,25.24µm
_052835_,25.24µm
_063825_,25.24µm
u_core.id_stage_i.register_file_i.mem\[470\],25.24µm
_021190_,25.22µm
_028653_,25.22µm
_030352_,25.22µm
_036223_,25.22µm
_037895_,25.22µm
_040001_,25.22µm
_053822_,25.22µm
_055085_,25.22µm
_056991_,25.22µm
_069867_,25.22µm
_070014_,25.22µm
_070023_,25.22µm
_076483_,25.22µm
_084805_,25.22µm
_020377_,25.2µm
_020813_,25.2µm
_030366_,25.2µm
_047771_,25.2µm
_065377_,25.2µm
_076733_,25.2µm
_077803_,25.2µm
_078736_,25.2µm
u_core.id_stage_i.register_file_i.mem\[420\],25.195µm
_014498_,25.18µm
_017015_,25.18µm
_024208_,25.18µm
_030798_,25.18µm
_033240_,25.18µm
_035422_,25.18µm
_037996_,25.18µm
_049279_,25.18µm
_051318_,25.18µm
_051714_,25.18µm
_055207_,25.18µm
_058538_,25.18µm
_062932_,25.18µm
_070583_,25.18µm
_071005_,25.18µm
_078343_,25.18µm
_080536_,25.18µm
_081043_,25.18µm
_083499_,25.18µm
_083717_,25.18µm
_085866_,25.18µm
net11996,25.18µm
net23433,25.18µm
net23991,25.18µm
net24283,25.18µm
u_jtag.jtag_dr_latched\[56\],25.17µm
_021239_,25.16µm
_064100_,25.16µm
_088316_,25.16µm
u_core.id_stage_i.register_file_i.mem\[861\],25.16µm
_018025_,25.14µm
_027065_,25.14µm
_036168_,25.14µm
_036881_,25.14µm
_062288_,25.14µm
_071100_,25.14µm
_088385_,25.14µm
u_gpio.status_lvl_high\[10\],25.14µm
net24614,25.14µm
_029035_,25.12µm
_054748_,25.12µm
_057546_,25.12µm
_087296_,25.12µm
u_core.cs_registers_i.mhpmcounter_q\[210\],25.12µm
_013530_,25.1µm
_030324_,25.1µm
_031166_,25.1µm
_054547_,25.1µm
_057084_,25.1µm
_062675_,25.1µm
_066269_,25.1µm
_074546_,25.1µm
_075974_,25.1µm
u_npu.u_npu_engine.conv_acc\[253\],25.1µm
net10800,25.09µm
_018674_,25.08µm
_021069_,25.08µm
_034139_,25.08µm
_037223_,25.08µm
_056111_,25.08µm
_064560_,25.08µm
_072999_,25.08µm
_022659_,25.07µm
_018031_,25.06µm
_023910_,25.06µm
_026290_,25.06µm
_026830_,25.06µm
_028211_,25.06µm
_050370_,25.06µm
_050902_,25.06µm
_053960_,25.06µm
_061404_,25.06µm
_065711_,25.06µm
_072416_,25.06µm
_077555_,25.06µm
_080846_,25.06µm
_086178_,25.06µm
_087196_,25.06µm
u_core.id_stage_i.register_file_i.mem\[713\],25.06µm
net23549,25.06µm
net23603,25.06µm
_017929_,25.04µm
_021445_,25.04µm
_027442_,25.04µm
_033297_,25.04µm
_051041_,25.04µm
_065474_,25.04µm
_066687_,25.04µm
_081802_,25.04µm
_083993_,25.04µm
net12345,25.04µm
_025332_,25.02µm
_026724_,25.02µm
_031442_,25.02µm
_033418_,25.02µm
_035089_,25.02µm
_056605_,25.02µm
_058529_,25.02µm
_065331_,25.02µm
_065674_,25.02µm
_075005_,25.02µm
_086209_,25.02µm
u_core.id_stage_i.register_file_i.mem\[987\],25.02µm
net1108,25.02µm
_021516_,25µm
_024545_,25µm
_050268_,25µm
_077089_,25µm
u_gpio.reg_intrpt_lvl_high_en\[1\],25µm
u_i2c.op_addr\[1\],25µm
_012593_,24.99µm
_052596_,24.985µm
_016205_,24.98µm
_057222_,24.98µm
_069921_,24.98µm
_070652_,24.98µm
_074272_,24.98µm
_077315_,24.98µm
_084110_,24.98µm
_084433_,24.98µm
u_core.id_stage_i.register_file_i.mem\[457\],24.98µm
u_npu.u_npu_engine.exp_val\[10\],24.98µm
u_uart2.u_rx_fifo.mem\[237\]\[1\],24.975µm
u_core.cs_registers_i.mtvec_o\[8\],24.97µm
u_core.ex_stage_i.alu_i.alu_div_i.ResReg_DP\[19\],24.97µm
_015626_,24.96µm
_021161_,24.96µm
_025882_,24.96µm
_026705_,24.96µm
_030713_,24.96µm
_032363_,24.96µm
_035458_,24.96µm
_057647_,24.96µm
_060699_,24.96µm
_083809_,24.96µm
net11954,24.96µm
net22502,24.96µm
_049029_,24.95µm
_017334_,24.94µm
_026421_,24.94µm
_026920_,24.94µm
_032613_,24.94µm
_056673_,24.94µm
_073058_,24.94µm
_075779_,24.94µm
_076313_,24.94µm
_077444_,24.94µm
_080990_,24.94µm
_082523_,24.94µm
_084111_,24.94µm
u_qspi.tx_fifo\[7\]\[29\],24.94µm
_027925_,24.92µm
_054557_,24.92µm
_061671_,24.92µm
_078749_,24.92µm
_079431_,24.92µm
_084574_,24.92µm
_070330_,24.915µm
_049607_,24.91µm
u_core.id_stage_i.register_file_i.mem\[392\],24.905µm
_020335_,24.9µm
_021154_,24.9µm
_022340_,24.9µm
_023836_,24.9µm
_060402_,24.9µm
_062230_,24.9µm
_065586_,24.9µm
_073005_,24.9µm
_074376_,24.9µm
_076736_,24.9µm
_019472_,24.89µm
_013791_,24.88µm
_013806_,24.88µm
_014825_,24.88µm
_030501_,24.88µm
_035039_,24.88µm
_052145_,24.88µm
_052604_,24.88µm
_054735_,24.88µm
_055307_,24.88µm
_078522_,24.88µm
_081806_,24.88µm
_088636_,24.88µm
u_core.id_stage_i.register_file_i.mem\[466\],24.88µm
_043014_,24.86µm
u_core.id_stage_i.controller_i.ctrl_fsm_cs\[8\],24.86µm
_076412_,24.855µm
_014279_,24.84µm
_033337_,24.84µm
_048054_,24.84µm
_050868_,24.84µm
_053881_,24.84µm
_054097_,24.84µm
_085955_,24.84µm
_088265_,24.84µm
u_core.cs_registers_i.dscratch1_q\[13\],24.84µm
u_core.ex_stage_i.alu_i.alu_div_i.AReg_DP\[27\],24.84µm
net22795,24.84µm
_020755_,24.82µm
_023754_,24.82µm
_027260_,24.82µm
_036041_,24.82µm
_055360_,24.82µm
_056568_,24.82µm
_070367_,24.82µm
_080164_,24.82µm
_015692_,24.8µm
_017452_,24.8µm
_019155_,24.8µm
_019898_,24.8µm
_028620_,24.8µm
_064997_,24.8µm
_071679_,24.8µm
_076421_,24.8µm
_079346_,24.8µm
u_dma.reg_dst_addr\[7\],24.8µm
net23196,24.8µm
_019383_,24.78µm
_019616_,24.78µm
_027791_,24.78µm
_030841_,24.78µm
_050685_,24.78µm
_057424_,24.78µm
_061865_,24.78µm
_071871_,24.78µm
_076647_,24.78µm
_084872_,24.78µm
_012573_,24.76µm
_014828_,24.76µm
_015847_,24.76µm
_026328_,24.76µm
_063331_,24.76µm
_063672_,24.76µm
_070899_,24.76µm
_072379_,24.76µm
_085834_,24.76µm
_087106_,24.76µm
u_core.id_stage_i.register_file_i.mem\[850\],24.76µm
u_core.id_stage_i.register_file_i.mem\[963\],24.76µm
u_npu.u_npu_engine.rq_ab\[1\],24.76µm
u_npu.u_npu_engine.rq_ab\[47\],24.76µm
net10086,24.76µm
net10104,24.76µm
net10865,24.76µm
net12552,24.76µm
_019341_,24.74µm
_053736_,24.74µm
_063835_,24.74µm
_070510_,24.74µm
_077966_,24.74µm
_081426_,24.74µm
_086205_,24.74µm
s5_rvalid,24.74µm
_085506_,24.735µm
_086135_,24.735µm
net12394,24.725µm
_024633_,24.72µm
_027959_,24.72µm
_028149_,24.72µm
_036039_,24.72µm
_049559_,24.72µm
_050971_,24.72µm
_058476_,24.72µm
_059622_,24.72µm
_059799_,24.72µm
_066633_,24.72µm
_071059_,24.72µm
_071125_,24.72µm
_073196_,24.72µm
_076460_,24.72µm
_079342_,24.72µm
u_qspi.rx_fifo\[42\]\[26\],24.72µm
net19457,24.72µm
net21532,24.72µm
u_core.cs_registers_i.mhpmcounter_q\[41\],24.705µm
_029732_,24.7µm
_038251_,24.7µm
_048553_,24.7µm
_053398_,24.7µm
_061389_,24.7µm
net19200,24.685µm
_012876_,24.68µm
_015964_,24.68µm
_019188_,24.68µm
_060219_,24.68µm
_062863_,24.68µm
_070738_,24.68µm
_075008_,24.68µm
_077807_,24.68µm
_078231_,24.68µm
_083454_,24.68µm
u_jtag.reg_cmd\[1\],24.675µm
_012157_,24.66µm
_050009_,24.66µm
_056649_,24.66µm
_078674_,24.66µm
_084489_,24.66µm
_021066_,24.64µm
_022266_,24.64µm
_025345_,24.64µm
_031869_,24.64µm
_034283_,24.64µm
_039450_,24.64µm
_053997_,24.64µm
_058045_,24.64µm
_063260_,24.64µm
_086917_,24.64µm
_039900_,24.635µm
_009389_,24.63µm
_023230_,24.62µm
_026221_,24.62µm
_034482_,24.62µm
_055156_,24.62µm
_065158_,24.62µm
_072547_,24.62µm
_081546_,24.62µm
_085145_,24.62µm
net9237,24.62µm
_032460_,24.61µm
_012681_,24.6µm
_019461_,24.6µm
_020217_,24.6µm
_021044_,24.6µm
_024147_,24.6µm
_024308_,24.6µm
_067421_,24.6µm
_078618_,24.6µm
_082067_,24.6µm
_088122_,24.6µm
net19404,24.6µm
_079499_,24.59µm
_019181_,24.58µm
_035110_,24.58µm
_036726_,24.58µm
_051473_,24.58µm
_061720_,24.58µm
_071136_,24.58µm
_079891_,24.58µm
u_gpio.reg_intrpt_lvl_high_en\[15\],24.58µm
net23324,24.58µm
net23921,24.58µm
net21918,24.575µm
_074081_,24.57µm
_013667_,24.56µm
_016960_,24.56µm
_021965_,24.56µm
_023636_,24.56µm
_026736_,24.56µm
_026939_,24.56µm
_050892_,24.56µm
_051337_,24.56µm
_058089_,24.56µm
_073710_,24.56µm
_077367_,24.56µm
_080740_,24.56µm
_083672_,24.56µm
_087765_,24.56µm
u_dma.reg_dst_addr\[21\],24.56µm
u_qspi.rx_fifo\[4\]\[21\],24.56µm
u_qspi.tx_fifo\[16\]\[24\],24.56µm
u_qspi.tx_fifo\[3\]\[23\],24.56µm
net24088,24.56µm
_018318_,24.54µm
_058263_,24.54µm
_076221_,24.54µm
u_gpio.reg_intrpt_fall_en\[15\],24.54µm
_069619_,24.53µm
_013059_,24.52µm
_014852_,24.52µm
_024926_,24.52µm
_025771_,24.52µm
_051772_,24.52µm
_055398_,24.52µm
_062695_,24.52µm
_065739_,24.52µm
_088382_,24.52µm
_086679_,24.51µm
_032697_,24.5µm
_049709_,24.5µm
net17081,24.5µm
_051382_,24.485µm
_013319_,24.48µm
_020950_,24.48µm
_021027_,24.48µm
_029223_,24.48µm
_035250_,24.48µm
_050588_,24.48µm
_057356_,24.48µm
_081444_,24.48µm
_084656_,24.48µm
u_core.ex_stage_i.alu_i.alu_div_i.BReg_DP\[5\],24.48µm
net6333,24.48µm
net9607,24.48µm
net21402,24.48µm
_028989_,24.47µm
_024493_,24.46µm
_027991_,24.46µm
_035910_,24.46µm
_049659_,24.46µm
_058490_,24.46µm
_084784_,24.46µm
u_core.ex_stage_i.mult_i.mulh_CS\[2\],24.46µm
u_dma.reg_ctrl\[21\],24.46µm
u_core.cs_registers_i.dscratch0_q\[21\],24.445µm
_023826_,24.44µm
_030737_,24.44µm
_074304_,24.44µm
_074446_,24.44µm
_076871_,24.44µm
_079545_,24.44µm
_088084_,24.44µm
u_core.cs_registers_i.mhpmevent_q\[100\],24.44µm
u_interconnect.read_sel_q\[10\],24.44µm
u_qspi.tx_fifo\[17\]\[19\],24.44µm
_049643_,24.43µm
net20745,24.425µm
_021423_,24.42µm
_027182_,24.42µm
_027697_,24.42µm
_055943_,24.42µm
_059324_,24.42µm
u_i2c.tick_cnt\[4\],24.42µm
_039751_,24.415µm
u_qspi.total_bytes\[6\],24.405µm
_025230_,24.4µm
_048514_,24.4µm
_059492_,24.4µm
_075140_,24.4µm
_076941_,24.4µm
_083723_,24.4µm
_087173_,24.4µm
_088000_,24.4µm
_088320_,24.4µm
u_i2c.reg_nby\[18\],24.4µm
_030635_,24.38µm
_052147_,24.38µm
_053401_,24.38µm
_076422_,24.38µm
_086342_,24.38µm
_027504_,24.375µm
_014316_,24.36µm
_020522_,24.36µm
_032287_,24.36µm
_035338_,24.36µm
_054308_,24.36µm
_060612_,24.36µm
_070976_,24.36µm
_071899_,24.36µm
_074569_,24.36µm
_075810_,24.36µm
_082405_,24.36µm
_082792_,24.36µm
_082900_,24.36µm
u_core.id_stage_i.register_file_i.mem\[211\],24.36µm
net23635,24.36µm
_022308_,24.345µm
u_core.cs_registers_i.mhpmcounter_q\[181\],24.345µm
_014705_,24.34µm
_035389_,24.34µm
_036695_,24.34µm
_052236_,24.34µm
_054756_,24.34µm
_055113_,24.34µm
_060914_,24.34µm
_067279_,24.34µm
_077415_,24.34µm
_084654_,24.34µm
_084750_,24.34µm
_088297_,24.34µm
_013888_,24.32µm
_055669_,24.32µm
_061600_,24.32µm
_064701_,24.32µm
_082385_,24.32µm
_087523_,24.32µm
_088097_,24.32µm
_088622_,24.32µm
net14393,24.32µm
u_npu.ram_rdata_a\[4\],24.315µm
_047714_,24.305µm
_022445_,24.3µm
_025710_,24.3µm
_031179_,24.3µm
_052566_,24.3µm
_074789_,24.3µm
u_core.id_stage_i.register_file_i.mem\[503\],24.3µm
net22709,24.3µm
_021065_,24.28µm
_050199_,24.28µm
_081864_,24.28µm
_082077_,24.28µm
_018383_,24.26µm
_019895_,24.26µm
_020543_,24.26µm
_023224_,24.26µm
_029911_,24.26µm
_035824_,24.26µm
_036384_,24.26µm
_037222_,24.26µm
_040014_,24.26µm
_048458_,24.26µm
_048903_,24.26µm
_048949_,24.26µm
_054474_,24.26µm
_056020_,24.26µm
_056467_,24.26µm
_058036_,24.26µm
_058555_,24.26µm
_062214_,24.26µm
